reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,62885,101,659
3/17/21 0:00,62886,31,298
3/17/21 0:00,62887,38,281
3/17/21 0:00,62888,171,1598
3/17/21 0:00,62889,85,613
3/17/21 0:00,62890,226,2301
3/17/21 0:00,62891,61,507
3/17/21 0:00,62892,50,357
3/17/21 0:00,62893,98,1075
3/17/21 0:00,62894,117,715
3/17/21 0:00,62895,195,1190
3/17/21 0:00,62896,1257,12662
3/17/21 0:00,62897,52,378
3/17/21 0:00,62898,196,1225
3/17/21 0:00,62899,119,1240
3/17/21 0:00,62901,2036,33707
3/17/21 0:00,62902,336,4626
3/17/21 0:00,62903,165,2822
3/17/21 0:00,62905,54,609
3/17/21 0:00,62906,1119,17363
3/17/21 0:00,62907,210,2260
3/17/21 0:00,62908,47,399
3/17/21 0:00,62910,183,1316
3/17/21 0:00,62912,91,1208
3/17/21 0:00,62914,168,2350
3/17/21 0:00,62915,68,659
3/17/21 0:00,62916,93,1032
3/17/21 0:00,62917,273,4268
3/17/21 0:00,62918,1156,12500
3/17/21 0:00,62919,76,937
3/17/21 0:00,62920,365,4800
3/17/21 0:00,62921,30,374
3/17/21 0:00,62922,257,2512
3/17/21 0:00,62923,38,547
3/17/21 0:00,62924,237,2945
3/17/21 0:00,62926,213,2546
3/17/21 0:00,62927,25,297
3/17/21 0:00,62928,12,214
3/17/21 0:00,62930,557,6694
3/17/21 0:00,62931,119,1166
3/17/21 0:00,62932,143,1915
3/17/21 0:00,62933,169,3071
3/17/21 0:00,62934,85,859
3/17/21 0:00,62935,205,1909
3/17/21 0:00,62938,199,2113
3/17/21 0:00,62939,340,3396
3/17/21 0:00,62940,26,339
3/17/21 0:00,62941,72,561
3/17/21 0:00,62942,62,503
3/17/21 0:00,62943,49,673
3/17/21 0:00,62946,1223,16343
3/17/21 0:00,62947,33,357
3/17/21 0:00,62948,1278,17511
3/17/21 0:00,62949,58,675
3/17/21 0:00,62950,27,241
3/17/21 0:00,62951,504,5094
3/17/21 0:00,62952,377,4848
3/17/21 0:00,62953,28,268
3/17/21 0:00,62954,25,377
3/17/21 0:00,62956,93,715
3/17/21 0:00,62957,62,499
3/17/21 0:00,62958,121,2150
3/17/21 0:00,62959,2898,41724
3/17/21 0:00,62960,1018,8831
3/17/21 0:00,62963,37,418
3/17/21 0:00,62964,119,1093
3/17/21 0:00,62965,7,63
3/17/21 0:00,62966,1351,17202
3/17/21 0:00,62967,37,265
3/17/21 0:00,62969,33,321
3/17/21 0:00,62970,55,377
3/17/21 0:00,62972,92,1199
3/17/21 0:00,62974,126,1054
3/17/21 0:00,62975,11,250
3/17/21 0:00,62976,42,402
3/17/21 0:00,62977,58,562
3/17/21 0:00,62979,104,1064
3/17/21 0:00,62982,150,2700
3/17/21 0:00,62983,149,1500
3/17/21 0:00,62984,148,1390
3/17/21 0:00,62985,76,938
3/17/21 0:00,62987,92,1091
3/17/21 0:00,62988,109,1321
3/17/21 0:00,62990,76,624
3/17/21 0:00,62992,204,1810
3/17/21 0:00,62994,81,802
3/17/21 0:00,62995,702,30696
3/17/21 0:00,62996,67,384
3/17/21 0:00,62997,44,744
3/17/21 0:00,62998,32,380
3/17/21 0:00,62999,130,1430
3/17/21 0:00,91761,9,974
