CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 218,2.0,77.0,0.0,0.0,153.0,5.0,7.0,40.0,3.0,3.0,0.0,0.0,13.0,35.0,0.0,5.0,360.0,3.0,1.0,27.0,161.0,171.0,0.0,0.0,22.0,41.0,0.0,15.0,7.0,8.0,1.0,60.0,0.0,9.0,124.0,163.0,24.0,10.0,1550
Census Tract 226,10.0,151.0,0.0,0.0,163.0,8.0,4.0,53.0,7.0,9.0,0.0,0.0,6.0,38.0,0.0,4.0,863.0,4.0,0.0,42.0,211.0,399.0,0.0,3.0,31.0,52.0,0.0,24.0,7.0,23.0,1.0,104.0,0.0,38.0,233.0,191.0,80.0,24.0,2783
Census Tract 227.02,0.0,57.0,0.0,0.0,79.0,3.0,0.0,25.0,3.0,2.0,0.0,0.0,10.0,17.0,0.0,1.0,343.0,2.0,0.0,13.0,94.0,122.0,0.0,2.0,10.0,29.0,1.0,10.0,6.0,6.0,1.0,48.0,0.0,0.0,79.0,93.0,19.0,8.0,1083
Census Tract 227.04,6.0,107.0,1.0,0.0,196.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,13.0,23.0,0.0,6.0,600.0,1.0,0.0,34.0,148.0,240.0,0.0,12.0,29.0,51.0,1.0,9.0,7.0,16.0,1.0,84.0,0.0,13.0,169.0,189.0,42.0,22.0,2077
Census Tract 228.01,6.0,377.0,1.0,3.0,160.0,156.0,18.0,122.0,13.0,5.0,0.0,2.0,35.0,68.0,6.0,21.0,898.0,10.0,19.0,167.0,410.0,848.0,0.0,1399.0,27.0,126.0,3.0,73.0,38.0,20.0,3.0,171.0,0.0,19.0,327.0,340.0,201.0,71.0,6163
Census Tract 228.02,7.0,597.0,0.0,1.0,81.0,112.0,16.0,145.0,24.0,1.0,1.0,96.0,18.0,38.0,0.0,12.0,555.0,6.0,4.0,839.0,709.0,484.0,0.0,12.0,10.0,39.0,270.0,33.0,38.0,21.0,26.0,184.0,0.0,166.0,210.0,93.0,232.0,38.0,5118
Census Tract 228.03,5.0,277.0,1.0,4.0,54.0,15.0,11.0,85.0,11.0,5.0,1.0,4.0,12.0,37.0,0.0,10.0,347.0,6.0,2.0,62.0,258.0,392.0,0.0,34.0,11.0,102.0,2.0,62.0,18.0,14.0,0.0,113.0,0.0,13.0,161.0,158.0,71.0,31.0,2389
Census Tract 229.01,3.0,446.0,1.0,4.0,69.0,15.0,12.0,147.0,51.0,1.0,0.0,0.0,27.0,39.0,2.0,15.0,410.0,44.0,0.0,102.0,289.0,637.0,0.0,6.0,21.0,166.0,5.0,91.0,23.0,23.0,1.0,183.0,0.0,32.0,200.0,188.0,175.0,88.0,3516
Census Tract 229.02,4.0,168.0,1.0,1.0,32.0,6.0,13.0,47.0,8.0,1.0,0.0,1.0,5.0,33.0,0.0,6.0,153.0,8.0,0.0,35.0,133.0,275.0,0.0,1.0,7.0,43.0,2.0,27.0,13.0,8.0,2.0,70.0,0.0,2.0,101.0,85.0,44.0,17.0,1352
Census Tract 229.03,2.0,352.0,1.0,3.0,63.0,8.0,10.0,95.0,18.0,1.0,1.0,1.0,20.0,48.0,0.0,12.0,338.0,18.0,0.0,79.0,273.0,443.0,0.0,20.0,19.0,119.0,7.0,57.0,27.0,14.0,2.0,114.0,0.0,12.0,170.0,160.0,105.0,47.0,2659
Census Tract 230.01,17.0,277.0,0.0,2.0,106.0,6.0,9.0,92.0,3.0,2.0,1.0,2.0,10.0,33.0,0.0,14.0,243.0,1.0,0.0,937.0,181.0,655.0,0.0,0.0,28.0,93.0,65.0,48.0,19.0,15.0,1.0,170.0,0.0,11.0,157.0,200.0,63.0,42.0,3503
Census Tract 230.03,4.0,309.0,1.0,3.0,66.0,3.0,6.0,83.0,3.0,2.0,0.0,3.0,21.0,37.0,0.0,15.0,178.0,4.0,0.0,101.0,194.0,553.0,0.0,0.0,14.0,50.0,6.0,66.0,19.0,10.0,0.0,121.0,0.0,13.0,111.0,187.0,82.0,54.0,2319
Census Tract 231.02,13.0,578.0,0.0,9.0,124.0,2.0,5.0,101.0,10.0,2.0,0.0,2.0,18.0,31.0,0.0,22.0,220.0,1.0,0.0,158.0,233.0,643.0,0.0,0.0,37.0,69.0,11.0,142.0,21.0,19.0,1.0,222.0,0.0,16.0,222.0,137.0,148.0,135.0,3352
Census Tract 231.03,35.0,1044.0,1.0,10.0,308.0,18.0,1.0,175.0,10.0,1.0,3.0,6.0,10.0,26.0,1.0,25.0,285.0,1.0,1.0,269.0,400.0,788.0,1.0,1.0,68.0,119.0,14.0,301.0,35.0,13.0,1.0,393.0,0.0,35.0,546.0,165.0,267.0,266.0,5643
