GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031681300,11.0,313.0,1120.0,395.0,21.0,502.0,0.0,70.0,60.0,11.0,4.0,10.0,4.0,3.0,3.0,196.0,529.0,0.0,0.0,0.0,32.0,0.0,213.0,424.0,0.0,24.0,244.0,14.0,2.0,469.0,76.0,4750
17031681400,12.0,322.0,1118.0,460.0,29.0,582.0,1.0,110.0,58.0,20.0,7.0,9.0,0.0,2.0,4.0,171.0,511.0,0.0,0.0,0.0,32.0,0.0,223.0,230.0,0.0,43.0,257.0,15.0,4.0,551.0,92.0,4863
17031690300,2.0,207.0,762.0,204.0,18.0,305.0,0.0,104.0,290.0,10.0,8.0,8.0,0.0,5.0,1.0,224.0,396.0,0.0,0.0,0.0,24.0,0.0,149.0,0.0,0.0,27.0,311.0,13.0,0.0,470.0,42.0,3580
17031690400,6.0,384.0,1149.0,538.0,32.0,559.0,1.0,138.0,108.0,14.0,15.0,11.0,2.0,2.0,2.0,335.0,537.0,0.0,0.0,0.0,35.0,0.0,355.0,4.0,0.0,42.0,369.0,10.0,2.0,819.0,81.0,5550
17031690500,3.0,96.0,363.0,112.0,8.0,158.0,0.0,58.0,23.0,5.0,1.0,2.0,0.0,2.0,7.0,88.0,318.0,0.0,0.0,0.0,6.0,0.0,77.0,1.0,0.0,21.0,87.0,2.0,0.0,171.0,34.0,1643
17031690900,6.0,337.0,1099.0,406.0,29.0,674.0,0.0,82.0,110.0,13.0,10.0,11.0,4.0,3.0,12.0,234.0,472.0,0.0,0.0,0.0,34.0,0.0,368.0,15.0,0.0,42.0,290.0,12.0,3.0,653.0,58.0,4977
17031691000,2.0,186.0,599.0,259.0,6.0,401.0,0.0,64.0,93.0,1.0,5.0,12.0,2.0,2.0,1.0,225.0,348.0,0.0,0.0,0.0,12.0,0.0,191.0,3.0,0.0,17.0,242.0,4.0,1.0,512.0,48.0,3236
17031691100,11.0,286.0,911.0,284.0,23.0,443.0,0.0,101.0,82.0,15.0,8.0,9.0,4.0,7.0,5.0,309.0,493.0,0.0,0.0,0.0,37.0,0.0,242.0,2.0,0.0,18.0,165.0,14.0,1.0,520.0,76.0,4066
17031691200,6.0,318.0,1012.0,336.0,20.0,456.0,0.0,175.0,308.0,18.0,11.0,15.0,4.0,1.0,9.0,268.0,823.0,0.0,0.0,1.0,25.0,0.0,236.0,3.0,1.0,17.0,267.0,7.0,4.0,597.0,57.0,4995
17031691300,5.0,149.0,391.0,219.0,13.0,277.0,0.0,77.0,145.0,1.0,4.0,4.0,1.0,3.0,6.0,206.0,307.0,0.0,0.0,0.0,17.0,0.0,158.0,3.0,0.0,14.0,192.0,12.0,0.0,519.0,42.0,2765
17031691400,8.0,293.0,905.0,285.0,19.0,478.0,0.0,64.0,102.0,12.0,15.0,17.0,2.0,3.0,4.0,184.0,559.0,0.0,0.0,0.0,24.0,0.0,278.0,4.0,0.0,29.0,282.0,12.0,3.0,661.0,77.0,4320
17031691500,4.0,408.0,1003.0,231.0,18.0,357.0,0.0,124.0,113.0,10.0,10.0,21.0,1.0,1.0,7.0,147.0,796.0,0.0,0.0,0.0,20.0,0.0,224.0,27.0,0.0,121.0,224.0,7.0,1.0,550.0,98.0,4523
17031700100,5.0,152.0,366.0,282.0,9.0,351.0,0.0,73.0,74.0,4.0,4.0,7.0,1.0,3.0,2.0,157.0,187.0,0.0,0.0,2.0,9.0,0.0,146.0,7.0,0.0,17.0,123.0,8.0,1.0,479.0,29.0,2498
17031700200,3.0,180.0,431.0,178.0,6.0,400.0,0.0,57.0,88.0,0.0,3.0,5.0,2.0,5.0,0.0,102.0,117.0,0.0,0.0,0.0,19.0,0.0,184.0,4.0,0.0,16.0,86.0,14.0,1.0,458.0,25.0,2384
17031700301,3.0,96.0,236.0,110.0,3.0,278.0,0.0,25.0,66.0,1.0,1.0,1.0,1.0,3.0,3.0,65.0,71.0,0.0,0.0,0.0,21.0,0.0,122.0,0.0,0.0,28.0,44.0,8.0,1.0,255.0,18.0,1460
17031700302,2.0,68.0,181.0,153.0,7.0,272.0,0.0,38.0,52.0,0.0,1.0,2.0,0.0,2.0,6.0,50.0,62.0,0.0,0.0,0.0,13.0,0.0,106.0,4.0,0.0,16.0,48.0,4.0,1.0,244.0,10.0,1342
17031700401,3.0,270.0,632.0,357.0,9.0,530.0,0.0,71.0,85.0,5.0,5.0,4.0,0.0,2.0,2.0,166.0,230.0,0.0,0.0,0.0,22.0,0.0,222.0,0.0,0.0,104.0,176.0,26.0,0.0,573.0,31.0,3525
17031700402,2.0,76.0,159.0,157.0,4.0,206.0,0.0,25.0,72.0,0.0,0.0,2.0,0.0,2.0,1.0,58.0,58.0,0.0,0.0,0.0,16.0,0.0,127.0,0.0,0.0,5.0,44.0,3.0,0.0,257.0,6.0,1280
17031700501,4.0,185.0,432.0,507.0,18.0,578.0,0.0,60.0,114.0,2.0,7.0,2.0,0.0,4.0,8.0,206.0,170.0,0.0,0.0,0.0,32.0,0.0,299.0,6.0,0.0,18.0,180.0,7.0,2.0,608.0,38.0,3487
17031700502,0.0,77.0,145.0,137.0,3.0,146.0,0.0,16.0,56.0,1.0,2.0,1.0,1.0,3.0,0.0,49.0,54.0,0.0,0.0,0.0,5.0,0.0,85.0,0.0,0.0,5.0,32.0,3.0,2.0,197.0,9.0,1029
17031710100,2.0,146.0,418.0,168.0,8.0,168.0,0.0,38.0,45.0,11.0,4.0,7.0,2.0,1.0,4.0,60.0,290.0,0.0,0.0,0.0,13.0,0.0,98.0,12.0,0.0,23.0,119.0,5.0,0.0,270.0,31.0,1943
17031710200,12.0,468.0,1483.0,525.0,33.0,766.0,0.0,184.0,107.0,14.0,9.0,19.0,3.0,9.0,10.0,333.0,633.0,0.0,0.0,0.0,40.0,0.0,402.0,121.0,1.0,41.0,276.0,28.0,2.0,824.0,95.0,6438
17031710300,4.0,178.0,466.0,210.0,4.0,237.0,0.0,59.0,37.0,4.0,5.0,5.0,1.0,1.0,3.0,113.0,383.0,0.0,0.0,0.0,12.0,0.0,153.0,17.0,0.0,18.0,93.0,3.0,1.0,245.0,28.0,2280
17031710400,7.0,348.0,1095.0,492.0,25.0,569.0,0.0,171.0,136.0,37.0,14.0,19.0,5.0,4.0,2.0,236.0,841.0,0.0,0.0,0.0,56.0,0.0,390.0,15.0,0.0,39.0,204.0,10.0,2.0,669.0,91.0,5477
17031710500,4.0,333.0,976.0,541.0,23.0,474.0,0.0,153.0,123.0,10.0,7.0,11.0,3.0,8.0,2.0,172.0,668.0,0.0,0.0,0.0,50.0,0.0,330.0,5.0,0.0,39.0,230.0,11.0,3.0,705.0,79.0,4960
17031710600,4.0,216.0,660.0,246.0,14.0,263.0,0.0,92.0,65.0,10.0,3.0,14.0,2.0,1.0,2.0,101.0,568.0,0.0,0.0,0.0,17.0,0.0,150.0,16.0,0.0,17.0,140.0,6.0,2.0,424.0,55.0,3088
