City,Metro,Date,All Beds,1 Beds,2 Beds
San Jose,Bay Area,4/1/2011,"1,758","1,513","1,969"
San Jose,Bay Area,5/1/2011,"1,679","1,397","1,924"
San Jose,Bay Area,6/1/2011,"1,633","1,354","1,882"
San Jose,Bay Area,7/1/2011,"1,633","1,351","1,851"
San Jose,Bay Area,8/1/2011,"1,825","1,534","1,987"
San Jose,Bay Area,9/1/2011,"1,959","1,646","2,116"
San Jose,Bay Area,10/1/2011,"1,940","1,671","2,079"
San Jose,Bay Area,11/1/2011,"1,905","1,655","2,053"
San Jose,Bay Area,12/1/2011,"1,902","1,630","2,055"
San Jose,Bay Area,1/1/2012,"1,989","1,688","2,142"
San Jose,Bay Area,2/1/2012,"2,022","1,735","2,146"
San Jose,Bay Area,3/1/2012,"2,036","1,814","2,121"
San Jose,Bay Area,4/1/2012,"2,029","1,758","2,181"
San Jose,Bay Area,5/1/2012,"2,074","1,799","2,224"
San Jose,Bay Area,6/1/2012,"2,101","1,813","2,211"
San Jose,Bay Area,7/1/2012,"2,184","1,864","2,340"
San Jose,Bay Area,8/1/2012,"2,132","1,832","2,285"
San Jose,Bay Area,9/1/2012,"2,086","1,797","2,212"
San Jose,Bay Area,10/1/2012,"2,055","1,792","2,177"
San Jose,Bay Area,11/1/2012,"2,020","1,753","2,142"
San Jose,Bay Area,12/1/2012,"2,006","1,723","2,126"
San Jose,Bay Area,1/1/2013,"2,052","1,745","2,192"
San Jose,Bay Area,2/1/2013,"2,078","1,742","2,244"
San Jose,Bay Area,3/1/2013,"2,130","1,796","2,338"
San Jose,Bay Area,4/1/2013,"2,167","1,847","2,378"
San Jose,Bay Area,5/1/2013,"2,173","1,865","2,420"
San Jose,Bay Area,6/1/2013,"2,252","1,900","2,508"
San Jose,Bay Area,7/1/2013,"2,242","1,923","2,476"
San Jose,Bay Area,8/1/2013,"2,213","1,902","2,421"
San Jose,Bay Area,9/1/2013,"2,189","1,844","2,351"
San Jose,Bay Area,10/1/2013,"2,193","1,870","2,355"
San Jose,Bay Area,11/1/2013,"2,179","1,843","2,341"
San Jose,Bay Area,12/1/2013,"2,254","1,910","2,422"
San Jose,Bay Area,1/1/2014,"2,289","1,962","2,450"
San Jose,Bay Area,2/1/2014,"2,311","1,970","2,493"
San Jose,Bay Area,3/1/2014,"2,296","1,997","2,499"
San Jose,Bay Area,4/1/2014,"2,352","2,044","2,548"
San Jose,Bay Area,5/1/2014,"2,379","2,047","2,601"
San Jose,Bay Area,6/1/2014,"2,449","2,102","2,686"
San Jose,Bay Area,7/1/2014,"2,503","2,139","2,726"
San Jose,Bay Area,8/1/2014,"2,512","2,146","2,737"
San Jose,Bay Area,9/1/2014,"2,511","2,157","2,730"
San Jose,Bay Area,10/1/2014,"2,513","2,156","2,735"
San Jose,Bay Area,11/1/2014,"2,515","2,146","2,726"
San Jose,Bay Area,12/1/2014,"2,517","2,159","2,738"
San Jose,Bay Area,1/1/2015,"2,525","2,188","2,778"
San Jose,Bay Area,2/1/2015,"2,510","2,195","2,784"
San Jose,Bay Area,3/1/2015,"2,628","2,306","2,880"
San Jose,Bay Area,4/1/2015,"2,656","2,330","2,873"
San Jose,Bay Area,5/1/2015,"2,712","2,379","2,910"
San Jose,Bay Area,6/1/2015,"2,807","2,418","3,003"
San Jose,Bay Area,7/1/2015,"2,826","2,479","3,058"
San Jose,Bay Area,8/1/2015,"2,830","2,485","3,066"
San Jose,Bay Area,9/1/2015,"2,836","2,475","3,101"
San Jose,Bay Area,10/1/2015,"2,806","2,455","3,081"
San Jose,Bay Area,11/1/2015,"2,786","2,449","3,062"
San Jose,Bay Area,12/1/2015,"2,791","2,469","3,073"
San Jose,Bay Area,1/1/2016,"2,806","2,486","3,065"
San Jose,Bay Area,2/1/2016,"2,844","2,514","3,105"
San Jose,Bay Area,3/1/2016,"2,928","2,575","3,190"
San Jose,Bay Area,4/1/2016,"2,946","2,523","3,237"
San Jose,Bay Area,5/1/2016,"2,948","2,530","3,247"
San Jose,Bay Area,6/1/2016,"2,972","2,548","3,267"
San Jose,Bay Area,7/1/2016,"3,005","2,563","3,306"
San Jose,Bay Area,8/1/2016,"2,936","2,527","3,205"
San Jose,Bay Area,9/1/2016,"2,883","2,490","3,122"
