"GEOID","Region","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"12103025900","Tampa Bay",2016,2553,187,78,1.37,1.08
"12103026001","Tampa Bay",2016,413,7,4,0.32,0.34
"12103026002","Tampa Bay",2016,577,14,9,0.45,0.55
"12103026101","Tampa Bay",2016,506,29,14,1.07,0.98
"12103026102","Tampa Bay",2016,402,10,4,0.46,0.35
"12103026200","Tampa Bay",2016,482,58,28,2.24,2.06
"12103026300","Tampa Bay",2016,1227,108,53,1.64,1.53
"12103026400","Tampa Bay",2016,1639,109,57,1.24,1.23
"12103026500","Tampa Bay",2016,1090,40,22,0.68,0.72
"12103026601","Tampa Bay",2016,304,31,13,1.9,1.52
"12103026602","Tampa Bay",2016,691,36,17,0.97,0.87
"12103026701","Tampa Bay",2016,690,48,16,1.3,0.82
"12103026702","Tampa Bay",2016,1382,68,26,0.92,0.67
"12103026703","Tampa Bay",2016,1535,88,34,1.07,0.79
"12103026804","Tampa Bay",2016,811,19,9,0.44,0.39
"12103026809","Tampa Bay",2016,591,9,4,0.28,0.24
"12103026811","Tampa Bay",2016,382,4,3,0.2,0.28
"12103026812","Tampa Bay",2016,808,17,8,0.39,0.35
"12103026813","Tampa Bay",2016,439,29,13,1.23,1.05
"12103026814","Tampa Bay",2016,202,0,0,0,0
"12103026815","Tampa Bay",2016,170,3,2,0.33,0.42
"12103026816","Tampa Bay",2016,824,16,9,0.36,0.39
"12103026817","Tampa Bay",2016,486,29,14,1.11,1.02
"12103026818","Tampa Bay",2016,1420,107,48,1.41,1.2
"12103026819","Tampa Bay",2016,508,46,24,1.69,1.68
"12103026820","Tampa Bay",2016,554,25,13,0.84,0.83
"12103026821","Tampa Bay",2016,241,5,3,0.39,0.44
"12103026904","Tampa Bay",2016,968,21,8,0.4,0.29
"12103026907","Tampa Bay",2016,978,27,18,0.52,0.65
"12103026908","Tampa Bay",2016,206,0,0,0,0
"12103026909","Tampa Bay",2016,916,21,11,0.43,0.43
"12103026910","Tampa Bay",2016,668,13,8,0.36,0.42
"12103026911","Tampa Bay",2016,274,2,1,0.14,0.13
"12103026912","Tampa Bay",2016,534,7,3,0.24,0.2
"12103026913","Tampa Bay",2016,554,35,24,1.18,1.54
"12103027000","Tampa Bay",2016,1299,55,23,0.79,0.63
"12103027101","Tampa Bay",2016,1444,48,23,0.62,0.56
"12103027105","Tampa Bay",2016,339,6,1,0.33,0.1
"12103027106","Tampa Bay",2016,413,9,4,0.41,0.34
"12103027202","Tampa Bay",2016,708,18,10,0.47,0.5
"12103027204","Tampa Bay",2016,348,14,6,0.75,0.61
"12103027205","Tampa Bay",2016,1407,51,22,0.68,0.55
"12103027206","Tampa Bay",2016,395,7,4,0.33,0.36
"12103027207","Tampa Bay",2016,516,11,10,0.4,0.69
"12103027208","Tampa Bay",2016,547,19,13,0.65,0.84
"12103027209","Tampa Bay",2016,422,10,4,0.44,0.34
"12103027210","Tampa Bay",2016,519,4,2,0.14,0.14
"12103027308","Tampa Bay",2016,615,66,32,2,1.84
"12103027309","Tampa Bay",2016,46,2,1,NA,NA
"12103027310","Tampa Bay",2016,257,1,0,0.07,0
"12103027314","Tampa Bay",2016,843,13,6,0.29,0.25
"12103027315","Tampa Bay",2016,1043,5,2,0.09,0.07
"12103027316","Tampa Bay",2016,289,4,2,0.26,0.25
"12103027317","Tampa Bay",2016,909,26,11,0.53,0.43
"12103027318","Tampa Bay",2016,516,13,6,0.47,0.41
"12103027319","Tampa Bay",2016,597,41,19,1.28,1.13
"12103027320","Tampa Bay",2016,506,25,9,0.92,0.63
"12103027321","Tampa Bay",2016,34,1,0,NA,NA
"12103027322","Tampa Bay",2016,1005,24,11,0.45,0.39
"12103027323","Tampa Bay",2016,989,25,5,0.47,0.18
"12103027324","Tampa Bay",2016,164,2,1,0.23,0.22
"12103027325","Tampa Bay",2016,120,3,2,0.47,0.59
"12103027326","Tampa Bay",2016,722,14,5,0.36,0.25
"12103027327","Tampa Bay",2016,601,13,7,0.4,0.41
"12103027401","Tampa Bay",2016,484,22,11,0.85,0.81
"12103027402","Tampa Bay",2016,1332,59,25,0.83,0.67
"12103027403","Tampa Bay",2016,183,2,1,0.2,0.19
"12103027501","Tampa Bay",2016,484,15,4,0.58,0.29
"12103027502","Tampa Bay",2016,720,21,10,0.54,0.49
"12103027603","Tampa Bay",2016,555,12,5,0.4,0.32
"12103027604","Tampa Bay",2016,262,3,2,0.21,0.27
"12103027605","Tampa Bay",2016,98,3,2,NA,NA
"12103027606","Tampa Bay",2016,433,6,2,0.26,0.16
