GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031351500,0.0,32.0,70.0,13.0,0.0,2.0,37.0,0.0,5.0,74.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,1.0,0.0,1.0,20.0,1.0,0.0,91.0,5.0,408
17031360200,0.0,78.0,178.0,29.0,0.0,4.0,127.0,0.0,43.0,40.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,45.0,20.0,0.0,1.0,0.0,0.0,8.0,0.0,61.0,0.0,0.0,2.0,41.0,5.0,0.0,158.0,13.0,859
17031380100,2.0,106.0,237.0,54.0,0.0,2.0,150.0,0.0,32.0,57.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,52.0,25.0,0.0,0.0,0.0,0.0,7.0,0.0,79.0,0.0,0.0,0.0,49.0,4.0,0.0,240.0,9.0,1113
17031380200,0.0,38.0,104.0,32.0,0.0,4.0,74.0,0.0,18.0,54.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,45.0,0.0,0.0,2.0,27.0,1.0,1.0,152.0,5.0,623
17031380500,0.0,43.0,112.0,18.0,0.0,1.0,51.0,0.0,7.0,17.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,0.0,0.0,2.0,31.0,2.0,1.0,86.0,5.0,453
17031380700,1.0,48.0,198.0,22.0,0.0,6.0,95.0,0.0,20.0,28.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,52.0,58.0,0.0,0.0,0.0,1.0,8.0,0.0,75.0,0.0,0.0,1.0,25.0,6.0,1.0,159.0,6.0,817
17031381200,2.0,83.0,276.0,56.0,0.0,8.0,144.0,1.0,22.0,58.0,0.0,7.0,0.0,6.0,0.0,0.0,2.0,54.0,128.0,0.0,0.0,0.0,1.0,11.0,0.0,114.0,1.0,0.0,6.0,60.0,2.0,1.0,214.0,33.0,1290
17031381400,1.0,151.0,417.0,54.0,0.0,8.0,186.0,0.0,25.0,112.0,0.0,4.0,0.0,12.0,2.0,1.0,2.0,88.0,153.0,0.0,0.0,0.0,0.0,22.0,0.0,106.0,16.0,0.0,12.0,120.0,3.0,4.0,341.0,37.0,1877
17031381500,0.0,42.0,81.0,8.0,0.0,0.0,39.0,0.0,18.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,1.0,0.0,4.0,21.0,1.0,0.0,56.0,5.0,385
17031381700,0.0,34.0,54.0,0.0,0.0,1.0,14.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,37.0,5.0,175
17031381800,2.0,157.0,471.0,73.0,0.0,8.0,139.0,0.0,37.0,55.0,0.0,2.0,0.0,11.0,0.0,1.0,6.0,42.0,75.0,0.0,0.0,0.0,0.0,8.0,0.0,79.0,36.0,0.0,17.0,72.0,10.0,1.0,242.0,19.0,1563
17031381900,0.0,49.0,123.0,40.0,0.0,2.0,84.0,0.0,16.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,53.0,0.0,0.0,3.0,14.0,5.0,1.0,122.0,6.0,590
17031390100,1.0,75.0,143.0,22.0,0.0,3.0,75.0,0.0,32.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,66.0,1.0,0.0,2.0,40.0,4.0,0.0,205.0,5.0,797
17031390200,0.0,55.0,137.0,44.0,0.0,3.0,104.0,0.0,24.0,47.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,45.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,6.0,59.0,6.0,0.0,186.0,9.0,801
17031390300,2.0,120.0,350.0,70.0,0.0,14.0,198.0,0.0,29.0,92.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,58.0,71.0,0.0,0.0,0.0,0.0,14.0,0.0,127.0,0.0,0.0,4.0,81.0,6.0,1.0,268.0,20.0,1535
17031390400,3.0,135.0,334.0,84.0,0.0,9.0,227.0,1.0,46.0,120.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,49.0,34.0,0.0,0.0,0.0,0.0,6.0,0.0,103.0,0.0,0.0,5.0,83.0,6.0,0.0,519.0,12.0,1781
17031390500,0.0,29.0,61.0,23.0,0.0,4.0,42.0,0.0,17.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,1.0,39.0,2.0,0.0,124.0,1.0,449
17031390600,0.0,25.0,60.0,24.0,0.0,1.0,59.0,0.0,8.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,34.0,0.0,0.0,168.0,0.0,474
