CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 3,2.0,156.0,14.0,0.0,160.0,3.0,0.0,98.0,15.0,29.0,4.0,1.0,0.0,65.0,0.0,0.0,0.0,371.0,1.0,85.0,0.0,0.0,70.0,14.0,0.0,0.0,2.0,8.0,12.0,1110
Census Tract 30,2.0,166.0,9.0,0.0,250.0,5.0,1.0,183.0,39.0,30.0,5.0,1.0,0.0,77.0,0.0,0.0,0.0,705.0,6.0,144.0,0.0,2.0,0.0,19.0,0.0,0.0,9.0,19.0,11.0,1683
Census Tract 31,0.0,139.0,10.0,0.0,172.0,0.0,0.0,166.0,36.0,28.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,518.0,30.0,91.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,11.0,12.0,1319
Census Tract 32,3.0,141.0,11.0,0.0,160.0,5.0,1.0,198.0,53.0,13.0,3.0,1.0,0.0,96.0,0.0,0.0,0.0,582.0,6.0,130.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,19.0,10.0,1452
Census Tract 33,5.0,190.0,9.0,0.0,164.0,6.0,1.0,190.0,68.0,26.0,1.0,0.0,0.0,101.0,0.0,0.0,0.0,512.0,5.0,131.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,9.0,6.0,1440
Census Tract 34,0.0,67.0,8.0,0.0,70.0,1.0,0.0,77.0,24.0,13.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,374.0,1.0,85.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,5.0,2.0,783
Census Tract 35,0.0,84.0,9.0,0.0,169.0,4.0,0.0,125.0,62.0,8.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,501.0,9.0,107.0,0.0,0.0,3.0,14.0,0.0,0.0,4.0,9.0,4.0,1190
Census Tract 36,0.0,165.0,25.0,0.0,251.0,3.0,1.0,228.0,36.0,19.0,2.0,1.0,0.0,131.0,0.0,0.0,0.0,1148.0,6.0,253.0,0.0,1.0,0.0,30.0,0.0,0.0,11.0,19.0,9.0,2339
Census Tract 38,1.0,23.0,5.0,0.0,65.0,1.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,123.0,2.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,313
Census Tract 39,0.0,50.0,8.0,0.0,105.0,1.0,0.0,60.0,9.0,8.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,200.0,3.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,4.0,2.0,526
