GEOID,ANIMAL CRUELTY,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,DRUNKENNESS,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,HUMAN TRAFFICKING,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033001701,0.0,17.0,830.0,50.0,0.0,772.0,32.0,1.0,628.0,110.0,133.0,0.0,12.0,6.0,0.0,387.0,0.0,0.0,0.0,0.0,2476.0,19.0,441.0,0.0,2.0,5.0,160.0,0.0,0.0,34.0,201.0,46.0,6362
53033001702,0.0,8.0,468.0,39.0,0.0,377.0,11.0,0.0,360.0,66.0,80.0,0.0,4.0,2.0,0.0,203.0,0.0,0.0,0.0,0.0,1118.0,10.0,278.0,0.0,1.0,1.0,32.0,0.0,0.0,17.0,73.0,24.0,3172
53033001800,0.0,10.0,961.0,32.0,0.0,594.0,53.0,1.0,575.0,162.0,331.0,1.0,13.0,1.0,0.0,294.0,0.0,0.0,0.0,0.0,2050.0,16.0,414.0,0.0,2.0,212.0,136.0,0.0,0.0,92.0,329.0,80.0,6359
53033001900,0.0,7.0,332.0,34.0,0.0,420.0,17.0,0.0,271.0,18.0,29.0,0.0,5.0,1.0,0.0,306.0,0.0,0.0,0.0,0.0,1089.0,2.0,282.0,0.0,0.0,0.0,17.0,0.0,0.0,8.0,53.0,9.0,2900
53033002000,0.0,4.0,172.0,21.0,0.0,408.0,7.0,1.0,184.0,30.0,21.0,0.0,3.0,4.0,0.0,226.0,0.0,0.0,0.0,0.0,864.0,3.0,199.0,0.0,1.0,0.0,20.0,0.0,0.0,4.0,21.0,10.0,2203
53033002100,0.0,1.0,306.0,26.0,0.0,419.0,5.0,0.0,216.0,35.0,14.0,0.0,2.0,3.0,0.0,212.0,0.0,0.0,0.0,0.0,676.0,0.0,151.0,0.0,0.0,9.0,17.0,0.0,0.0,5.0,24.0,8.0,2129
53033002200,0.0,0.0,153.0,23.0,0.0,419.0,15.0,0.0,179.0,24.0,8.0,0.0,0.0,3.0,0.0,402.0,0.0,0.0,0.0,0.0,738.0,1.0,98.0,0.0,2.0,0.0,16.0,0.0,0.0,2.0,17.0,1.0,2101
53033002400,0.0,2.0,141.0,16.0,0.0,282.0,4.0,0.0,118.0,11.0,12.0,0.0,3.0,2.0,0.0,221.0,0.0,0.0,0.0,0.0,425.0,3.0,75.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,17.0,3.0,1355
53033002500,0.0,7.0,135.0,12.0,0.0,375.0,5.0,0.0,165.0,16.0,21.0,0.0,2.0,2.0,0.0,206.0,0.0,0.0,0.0,0.0,642.0,1.0,173.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0,20.0,12.0,1811
53033002600,0.0,9.0,417.0,37.0,0.0,739.0,19.0,0.0,398.0,84.0,68.0,0.0,8.0,1.0,0.0,398.0,0.0,0.0,0.0,0.0,1797.0,4.0,407.0,0.0,1.0,0.0,84.0,0.0,0.0,16.0,96.0,23.0,4606
53033002700,0.0,4.0,445.0,41.0,0.0,675.0,33.0,0.0,490.0,133.0,122.0,0.0,6.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,2338.0,10.0,442.0,0.0,0.0,20.0,68.0,0.0,0.0,50.0,182.0,33.0,5500
53033002800,0.0,12.0,355.0,24.0,0.0,531.0,10.0,2.0,359.0,87.0,55.0,0.0,7.0,4.0,0.0,322.0,0.0,0.0,0.0,0.0,1500.0,7.0,339.0,0.0,0.0,0.0,47.0,0.0,0.0,14.0,84.0,15.0,3774
53033002900,0.0,2.0,126.0,15.0,0.0,297.0,5.0,1.0,166.0,37.0,15.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,940.0,2.0,254.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,17.0,6.0,2146
53033003000,0.0,4.0,401.0,33.0,0.0,670.0,16.0,2.0,446.0,84.0,48.0,0.0,8.0,3.0,0.0,360.0,0.0,0.0,0.0,0.0,2034.0,7.0,378.0,0.0,2.0,4.0,62.0,0.0,0.0,17.0,94.0,23.0,4696
53033003100,0.0,6.0,354.0,26.0,0.0,511.0,3.0,0.0,389.0,77.0,36.0,0.0,3.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,1622.0,41.0,289.0,0.0,0.0,0.0,51.0,0.0,0.0,9.0,38.0,23.0,3873
53033003200,0.0,6.0,395.0,27.0,0.0,685.0,14.0,1.0,473.0,90.0,31.0,0.0,6.0,4.0,0.0,436.0,0.0,0.0,0.0,0.0,1799.0,8.0,403.0,0.0,0.0,0.0,35.0,0.0,0.0,9.0,110.0,17.0,4549
53033003300,0.0,11.0,438.0,29.0,0.0,549.0,19.0,3.0,474.0,115.0,49.0,0.0,8.0,1.0,0.0,363.0,0.0,0.0,0.0,0.0,1652.0,8.0,431.0,0.0,5.0,0.0,43.0,0.0,0.0,10.0,87.0,14.0,4309
