"GEOID","REGION","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08031008388","Denver",2016,1797,375,98,3.12,1.78
"08031003800","Denver",2016,2294,33,21,0.22,0.3
"08031000102","Denver",2016,548,1,1,0.03,0.06
"08031004004","Denver",2016,143,2,2,0.21,0.46
"08031003602","Denver",2016,793,34,28,0.64,1.15
"08031005002","Denver",2016,2253,231,128,1.53,1.86
"08031004102","Denver",2016,719,27,11,0.56,0.5
"08031001302","Denver",2016,536,7,7,0.2,0.43
"08031002703","Denver",2016,3105,96,50,0.46,0.53
"08031008386","Denver",2016,360,14,9,0.58,0.82
"08031002602","Denver",2016,1492,56,30,0.56,0.66
"08031005300","Denver",2016,392,13,9,0.5,0.75
"08031003601","Denver",2016,965,31,19,0.48,0.64
"08031000903","Denver",2016,903,23,12,0.38,0.43
"08031003402","Denver",2016,440,3,3,0.1,0.22
"08031000401","Denver",2016,677,14,6,0.31,0.29
"08031001902","Denver",2016,23,0,0,NA,NA
"08031006813","Denver",2016,1976,170,74,1.29,1.22
"08031007013","Denver",2016,539,18,8,0.5,0.48
"08031001701","Denver",2016,2285,61,30,0.4,0.43
"08031000303","Denver",2016,1012,9,4,0.13,0.13
"08031003002","Denver",2016,754,1,1,0.02,0.04
"08031002701","Denver",2016,3386,88,50,0.39,0.48
"08031000501","Denver",2016,311,2,2,0.1,0.21
"08031004002","Denver",2016,194,2,1,0.15,0.17
"08031007088","Denver",2016,2075,197,86,1.42,1.35
"08031015400","Denver",2016,591,12,9,0.3,0.5
"08031004603","Denver",2016,632,23,14,0.54,0.72
"08031004302","Denver",2016,409,2,1,0.07,0.08
"08031004202","Denver",2016,337,8,3,0.35,0.29
"08031007037","Denver",2016,1176,125,70,1.59,1.94
"08031003401","Denver",2016,425,1,1,0.04,0.08
"08031003001","Denver",2016,1164,21,5,0.27,0.14
"08031001000","Denver",2016,720,27,13,0.56,0.59
"08031003902","Denver",2016,473,5,2,0.16,0.14
"08031004700","Denver",2016,842,82,50,1.46,1.94
"08031000800","Denver",2016,448,15,1,0.5,0.07
"08031004602","Denver",2016,1221,59,44,0.72,1.18
"08031000702","Denver",2016,1783,134,75,1.12,1.37
"08031006811","Denver",2016,1842,120,54,0.97,0.96
"08031005503","Denver",2016,444,17,6,0.57,0.44
"08031003500","Denver",2016,988,28,19,0.42,0.63
"08031001403","Denver",2016,731,12,5,0.25,0.22
"08031001702","Denver",2016,2443,138,64,0.84,0.86
"08031003102","Denver",2016,1658,41,24,0.37,0.47
"08031004601","Denver",2016,502,10,7,0.3,0.46
"08031004301","Denver",2016,1912,85,51,0.66,0.87
"08031000201","Denver",2016,443,4,2,0.14,0.15
"08031005001","Denver",2016,335,9,3,0.4,0.29
"08031004106","Denver",2016,462,14,6,0.45,0.42
"08031008305","Denver",2016,398,18,12,0.68,0.98
"08031006804","Denver",2016,616,51,16,1.24,0.85
"08031006810","Denver",2016,1215,111,36,1.37,0.97
"08031000904","Denver",2016,1291,35,26,0.41,0.66
"08031001800","Denver",2016,1365,37,26,0.41,0.62
"08031012014","Denver",2016,1424,83,20,0.87,0.46
